userId,movieId,rating
624,4909,4
92,392,3
187,1101,0.5
472,2861,4
287,8064,5
311,433,2
353,5535,1.5
547,1578,3.5
243,2953,2.5
509,102,5
355,1101,3.5
559,607,4
509,5412,3
480,305,4.5
138,8506,1
23,2655,5
587,5514,4.5
664,2542,3
558,787,5
199,643,4
247,1252,4
102,1830,3
243,523,4
563,4988,4.5
596,1079,4
63,2115,4.5
497,964,3
648,979,4
56,7181,4
219,3870,0.5
564,359,4
624,1436,4
159,956,5
164,5473,3
182,616,5
149,6996,3
373,2104,1
468,4740,3
95,1557,4
468,1729,3
587,7283,3.5
500,310,2.5
574,6232,4
200,562,3.5
509,4108,3.5
546,4158,5
30,2638,2
427,2153,4
463,2063,5
431,6301,5
628,6760,3
388,125,3
311,473,5
529,3822,5
562,2612,4
496,433,3
460,2781,4.5
608,1469,3
77,448,3
324,3647,3
602,536,4
548,55,5
553,958,2.5
534,1103,4
292,3198,3
387,1793,2
203,969,4.5
21,233,3
30,2658,2
115,1210,3
501,1844,5
306,1520,5
94,102,3.5
105,3431,4
306,884,4
240,1907,4
371,3846,4
452,1655,2.5
160,526,3
232,225,4
397,2401,4
605,787,5
281,876,4
78,2861,5
353,2971,2.5
150,2408,3.5
428,33,3
311,5620,3.5
380,7531,3
73,6633,3
187,952,5
382,6137,2.5
388,4829,3
501,3214,5
146,385,3
111,5386,4.5
30,3636,5
212,6830,4
195,1037,5
195,2810,3
474,720,5
396,293,3
644,473,5
523,1844,4.5
345,1891,0.5
157,5946,3.5
640,35,5
78,4696,4.5
654,1261,4
151,310,3
590,345,4
245,886,3
294,648,3
484,17,5
181,499,5
370,1295,5
457,5534,1
206,1323,5
457,7316,2.5
136,3811,4.5
503,5018,3
660,1046,3.5
547,6237,2.5
199,2753,4
654,1917,4.5
545,933,2
381,1109,3
202,4379,4
177,618,4
641,263,4
324,8427,3
265,2573,5
87,618,2
479,7391,4
481,999,4
303,3855,3.5
92,536,5
587,1058,4
528,6143,3.5
366,2310,3.5
348,322,5
103,1344,1.5
23,5968,3.5
239,1566,3
306,1923,4
418,6277,4.5
157,7570,4
509,2497,5
667,495,3
77,4177,4
605,1220,4
580,6187,3.5
245,2335,4
285,1967,4
265,2521,5
617,504,3
15,391,4
547,7864,4
439,3581,1
240,5524,4
176,1130,2
262,3949,3
152,6714,4
598,3793,3
242,1332,5
107,4165,3.5
387,1048,3
15,6732,3.5
384,995,4
372,238,3
345,982,4.5
135,636,3
83,745,4.5
405,1778,3
59,1101,0.5
380,8292,3.5
607,319,3
479,6766,5
624,520,3
665,1643,2
165,1575,2.5
316,917,4
666,428,4
307,952,4
382,5478,3.5
346,5587,4
501,6827,4
30,2735,4
452,991,2
514,902,4
247,362,3
306,2175,3
457,2542,3.5
102,948,4
243,4947,4
200,7576,4
509,2971,2
527,4294,4.5
67,250,4
417,5543,4.5
620,4760,4.5
648,7803,3
160,1132,5
624,6515,4
397,7164,3
19,197,4
423,7502,4
367,2399,3.5
434,841,4
388,1046,5
535,152,2
15,1079,2
168,329,4
311,1254,3
548,148,3
152,3379,2
38,4982,5
200,526,4
216,2095,3.5
417,4598,3.5
239,1217,2
456,4100,3
195,789,3
165,562,3.5
353,4205,2.5
272,8864,3.5
143,5976,5
557,212,3
342,1301,4
275,6893,5
457,3299,2
417,3815,4.5
557,6929,4
452,4158,3
607,4582,4.5
422,1,5
468,7255,3.5
529,455,3.5
8,5524,4.5
73,8192,4
285,264,5
571,4158,2.5
481,3200,4
91,889,5
48,2410,5
452,4006,4
255,4445,2
530,659,4
48,7989,2.5
255,2614,1.5
468,2004,3
433,6012,3.5
525,2397,4
109,970,4.5
559,955,5
468,1020,3.5
544,5021,5
624,6956,2.5
457,2728,3
67,12,3
580,7435,2.5
597,863,4
620,7464,0.5
472,4874,2
359,190,4
43,2408,4
624,7966,3.5
270,7630,3
599,1814,4.5
211,50,5
402,6413,3
624,2953,2
273,1,4.5
137,867,3
496,651,5
48,6517,4
15,8375,3
123,3060,5
423,160,3.5
73,7795,4
388,2576,5
457,32,3
220,2375,4
518,529,4
478,5977,4
277,8981,4
448,233,5
574,880,3
614,523,3
182,521,5
375,528,1
213,130,1.5
624,3011,4.5
290,4690,4.5
23,990,3.5
596,3461,3.5
386,3799,1
362,6117,4.5
88,46,4
547,2354,3
596,239,3
387,2489,4
632,2368,4
574,1802,4.5
128,3224,4
39,377,3
68,1360,3
321,1455,5
176,7661,2.5
88,5356,4.5
518,1927,3
328,3804,4
447,282,3
363,1698,4
564,1058,5
62,1591,4.5
294,3561,3
6,1014,4.5
22,2310,2
15,2149,3
15,5006,3
306,2130,4
306,1981,3
535,656,3
665,2157,4
73,8759,3.5
132,6534,3.5
57,1332,5
575,2995,3
294,3294,2
327,233,4.5
19,54,3
417,4129,3
648,2781,3.5
98,1530,4
389,181,3
294,3420,5
423,4556,2
600,8589,4
8,967,4
313,653,3.5
610,6607,3.5
641,616,3
575,731,3
15,2589,2
81,6486,2.5
624,1030,5
149,979,3
562,1620,4.5
559,1515,5
624,2171,2
311,520,3
590,319,3
564,1342,4
421,322,4
654,495,5
613,1525,3.5
73,7590,4
299,4304,4.5
128,1259,5
394,747,3
651,1927,4
431,6271,5
205,8428,4
30,2940,4
667,141,4
575,1709,4
574,6732,4
450,1844,4
126,527,3
212,3887,3.5
119,2786,1
514,784,4
96,991,4
593,323,5
577,1745,4.5
660,322,3
198,734,5
330,956,2
294,1744,3.5
161,269,4
4,838,5
518,1033,3
580,5476,3.5
30,2884,4
388,2241,2
563,5586,2.5
311,3234,4
119,881,4
346,617,5
371,3415,4.5
279,315,3
295,6,4.5
15,4437,3
547,5665,4
212,4026,2.5
439,197,4
59,2375,4
472,2156,4
568,130,3
388,1267,2
262,2180,0.5
214,2494,5
353,1745,4
531,6722,3.5
125,4158,3
584,4790,1
73,2423,4
531,890,1.5
463,2610,4
450,3158,3.5
434,956,3
110,171,5
294,269,3.5
324,5968,3.5
96,5673,4
564,1534,2
119,3220,3
597,786,4
247,2627,3
585,1497,5
30,3771,4
664,6679,4
299,436,3.5
235,3513,5
421,305,3
